iter	Passed	Remaining
415	3041	4269
416	3047	4260
417	3052	4250
418	3059	4241
419	3066	4234
420	3072	4225
421	3078	4217
422	3086	4210
423	3094	4203
424	3101	4195
425	3108	4188
426	3114	4179
427	3121	4171
428	3127	4162
429	3134	4154
430	3141	4147
431	3149	4141
432	3155	4131
433	3162	4124
434	3170	4117
435	3178	4111
436	3187	4106
437	3194	4099
438	3201	4091
439	3208	4083
440	3215	4075
441	3222	4067
442	3228	4059
443	3236	4053
444	3242	4044
445	3248	4035
446	3255	4027
447	3263	4020
448	3271	4014
449	3277	4005
450	3284	3998
451	3292	3991
452	3299	3984
453	3307	3977
454	3315	3971
455	3322	3963
456	3330	3957
457	3337	3949
458	3343	3940
459	3349	3932
460	3356	3923
461	3363	3916
462	3371	3910
463	3377	3901
464	3385	3894
465	3392	3887
466	3398	3879
467	3406	3872
468	3413	3864
469	3420	3857
470	3427	3849
471	3435	3843
472	3441	3834
473	3449	3828
474	3456	3819
475	3464	3813
476	3472	3807
477	3480	3800
478	3487	3793
479	3494	3786
480	3500	3776
481	3506	3768
482	3513	3760
483	3520	3753
484	3528	3746
485	3534	3738
486	3541	3730
487	3548	3723
488	3555	3715
489	3561	3706
490	3568	3698
491	3574	3690
492	3581	3683
493	3587	3674
494	3596	3669
495	3604	3662
496	3611	3654
497	3644	3674
498	3657	3671
499	3664	3664
500	3672	3658
501	3680	3651
502	3688	3644
503	3695	3636
504	3703	3630
505	3711	3623
506	3717	3614
507	3724	3607
508	3732	3600
509	3739	3593
510	3746	3585
511	3754	3578
512	3760	3569
513	3766	3561
514	3773	3553
515	3780	3546
516	3788	3538
517	3794	3531
518	3802	3523
519	3809	3516
520	3816	3508
521	3823	3501
522	3830	3493
523	3839	3487
524	3848	3481
525	3855	3473
526	3862	3466
527	3869	3459
528	3876	3451
529	3883	3443
530	3891	3437
531	3900	3431
532	3906	3422
533	3912	3413
534	3918	3406
535	3925	3398
536	3933	3391
537	3940	3384
538	3947	3376
539	3956	3370
540	3963	3363
541	3970	3354
542	3976	3347
543	3984	3339
544	3991	3332
545	3999	3325
546	4006	3317
547	4014	3310
548	4021	3303
549	4028	3296
550	4035	3288
551	4042	3280
552	4049	3273
553	4057	3266
554	4065	3259
555	4072	3252
556	4080	3245
557	4086	3237
558	4092	3228
559	4099	3221
560	4106	3213
561	4112	3205
562	4118	3196
